url_length,domain_length,has_www,count_digits,count_letters,count_hyphens,tld_length,has_contact_page,payment_credit_card,payment_modern,payment_crypto,vorkasse_only_risk,email_type,has_logo,domain_age_days,ssl_valid
32,25,0,0,28,0,6,0,0,0,0,0,0,0,0,0
26,19,0,0,22,0,3,0,0,0,0,0,0,0,0,0
24,17,0,0,19,1,3,0,0,0,0,0,0,0,0,0
41,34,0,6,28,1,3,0,0,0,0,0,0,0,0,0
23,16,0,0,19,0,2,0,0,0,0,0,0,0,0,0
36,29,0,0,29,3,3,0,0,0,0,0,0,0,0,0
38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,4,0,0,0,0,0,0,0,0,0
34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
38,31,0,0,31,3,3,0,0,0,0,0,0,0,0,0
34,27,0,0,28,2,4,0,0,0,0,0,0,0,0,0
30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
30,23,0,0,24,2,4,0,0,0,0,0,0,0,0,0
30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
38,31,0,0,33,1,3,0,0,0,0,0,0,0,0,0
35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
37,30,0,0,31,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
35,28,0,0,30,1,4,0,0,0,0,0,0,0,0,0
37,30,0,0,31,2,3,0,0,0,0,0,0,0,0,0
37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
32,25,0,2,24,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
31,24,0,0,26,1,3,0,0,0,0,0,0,0,0,0
36,29,0,0,30,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
30,23,0,0,25,1,3,0,0,0,0,0,0,0,0,0
35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
28,21,0,0,22,2,3,0,0,0,0,0,0,0,0,0
33,26,0,0,28,1,3,0,0,0,0,0,0,0,0,0
38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
23,16,1,0,18,0,2,0,0,0,0,0,0,0,0,0
25,18,1,0,20,0,3,0,0,0,0,0,0,1,0,0
21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
19,11,1,0,14,0,2,1,0,0,0,0,0,1,0,1
19,11,1,0,14,0,2,1,1,1,0,1,2,1,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,0
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,1,1,1,0,1,0,1,0,1
20,12,1,0,15,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
30,22,1,0,24,1,2,1,1,1,0,0,2,1,0,1
19,11,1,0,14,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
32,24,1,0,26,1,2,1,0,0,0,0,2,1,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
20,12,1,0,15,0,3,0,0,0,0,0,0,0,0,1
18,10,1,0,13,0,3,0,0,0,0,0,0,0,0,1
23,15,1,0,16,2,3,1,1,1,0,0,0,1,0,1
31,23,1,0,25,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
26,18,1,0,21,0,3,1,1,1,0,0,0,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
20,12,1,0,15,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,2,1,0,0,0,0,2,1,0,1
26,18,1,0,21,0,3,0,0,0,0,0,0,0,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
25,17,1,0,20,0,2,1,0,0,0,0,2,1,0,1
26,18,1,0,21,0,2,1,0,0,0,0,2,1,0,1
27,19,1,0,22,0,2,1,1,1,0,0,2,1,0,1
28,20,1,0,22,1,2,0,0,0,0,0,0,0,0,1
20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
29,21,1,0,23,1,3,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,3,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,1,0,0,0,2,1,0,1
24,16,1,0,19,0,4,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
21,13,1,2,14,0,2,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
27,19,1,0,21,1,3,0,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
23,15,1,0,18,0,2,0,0,0,0,0,2,0,0,1
23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
26,18,1,0,20,1,2,0,0,0,0,0,0,0,0,0
23,15,1,0,18,0,2,0,1,1,1,1,0,1,0,1
25,17,1,0,19,1,2,0,0,0,0,0,0,0,0,0
27,19,1,0,22,0,2,0,0,0,0,0,0,0,0,0
23,15,1,0,18,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,1
20,12,1,0,15,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,2,15,0,2,1,1,0,0,0,2,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
21,13,1,0,16,0,3,1,0,0,0,0,0,1,0,1
23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
18,10,1,0,13,0,3,1,0,0,0,0,0,1,0,1
22,14,1,0,17,0,3,1,0,0,0,0,0,1,0,1
20,12,1,0,15,0,3,1,0,0,0,0,0,1,0,1
25,17,1,0,20,0,3,1,0,0,0,0,0,1,0,1
20,12,1,0,15,0,3,1,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,0,0,0,0,0,0,1,0,1
20,12,1,0,15,0,3,1,0,0,0,0,2,1,0,1
26,18,1,0,21,0,2,1,1,1,0,0,0,1,0,1
25,17,1,0,20,0,2,0,0,0,0,0,0,0,0,1
20,12,1,0,15,0,3,1,1,1,0,0,0,1,0,0
21,13,1,0,16,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
26,18,1,0,20,1,2,1,1,1,0,0,0,1,0,0
23,15,1,0,18,0,2,1,1,0,0,0,2,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
29,21,1,0,23,1,3,1,1,1,0,1,0,1,0,1
24,16,1,0,19,0,2,1,1,1,0,0,2,1,0,1
21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,1
23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,0
27,19,1,0,22,0,2,1,0,1,0,0,0,1,0,1
20,12,1,0,15,0,3,0,0,0,0,0,0,0,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,1,0,0,0,0,0,0,0,1
30,22,1,0,24,1,2,1,0,0,0,0,0,0,0,1
17,10,0,0,13,0,4,1,0,0,0,0,2,1,0,0
25,18,1,0,20,0,2,1,1,1,0,0,0,1,0,0
35,28,1,0,29,1,4,1,0,0,0,0,0,1,0,0
30,23,1,0,25,0,3,1,0,0,0,0,0,1,0,0
29,22,1,0,23,1,2,0,0,0,0,0,0,0,0,0
20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,2,1,0,0,0,0,0,1,0,1
29,21,0,0,24,0,5,0,0,0,0,0,0,0,0,1
24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,5,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
26,18,0,0,21,0,4,1,0,0,0,0,0,1,0,1
20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,1
29,21,0,0,25,0,3,1,0,0,0,0,0,1,0,1
22,14,0,0,18,0,3,0,0,0,0,0,0,1,0,1
32,24,0,0,28,0,4,1,0,0,0,0,0,1,0,1
27,19,0,0,22,0,4,1,0,0,0,0,0,1,0,1
23,15,0,0,19,0,3,1,0,0,0,0,0,1,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,1,0,1
19,11,0,0,15,0,4,0,0,0,0,0,0,0,0,0
27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
18,10,0,0,14,0,2,0,0,0,0,0,0,0,0,1
27,19,0,0,22,1,2,0,0,0,0,0,0,0,0,0
23,15,0,0,18,1,2,1,0,0,0,0,0,1,0,1
19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,20,1,2,1,0,0,0,0,2,1,0,1
22,14,0,0,18,0,2,1,1,1,0,0,0,1,0,1
28,20,0,1,22,1,3,1,0,0,0,0,2,1,0,1
31,23,0,0,27,0,3,1,0,0,0,0,0,1,0,1
18,10,0,0,14,0,4,1,0,0,0,0,2,1,0,1
26,18,0,0,22,0,5,1,0,0,0,0,0,1,0,1
27,19,0,0,23,0,3,1,0,0,0,0,0,1,0,1
28,20,0,0,24,0,3,1,0,0,0,0,0,1,0,1
26,18,0,0,21,1,2,0,0,0,0,0,0,0,0,1
28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
29,21,0,0,24,0,4,1,0,0,0,0,0,1,0,1
32,24,0,0,27,1,4,1,0,0,0,0,0,1,0,1
28,20,0,0,24,0,4,1,0,0,0,0,0,1,0,1
28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
29,21,0,0,24,0,4,1,0,0,0,0,0,1,0,1
23,15,0,0,18,0,4,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
22,14,0,0,17,1,3,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,1,0,1
28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
22,14,0,0,17,0,3,0,0,0,0,0,0,0,0,0
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,1,1,0,0,0,0,1,0,1
27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
26,18,0,0,21,0,4,0,0,0,0,0,0,0,0,0
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
22,14,0,0,18,0,2,0,0,0,0,0,0,0,0,0
23,15,0,0,18,0,2,0,0,0,0,0,0,0,0,0
20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
23,15,0,0,19,0,4,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
30,22,0,0,23,3,2,0,0,0,0,0,0,0,0,0
19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
24,16,0,3,17,0,3,0,0,0,0,0,0,0,0,1
23,15,0,0,18,1,2,0,0,0,0,0,0,0,0,1
30,22,0,0,26,0,2,0,0,0,0,0,0,0,0,1
20,12,0,0,15,0,2,1,0,0,0,0,0,1,0,1
19,11,0,0,15,0,2,0,0,0,0,0,0,0,0,1
18,10,0,0,14,0,2,1,0,0,0,0,0,1,0,1
19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,0
30,22,0,0,24,2,2,1,0,0,0,0,0,1,0,1
20,12,0,0,15,1,2,0,0,0,0,0,0,0,0,0
21,13,0,0,16,1,2,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,1,1,0,0,0,0,1,0,1
26,18,0,0,22,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
37,29,0,0,32,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
18,10,0,0,14,0,4,0,0,0,0,0,0,0,0,0
21,13,0,0,17,0,2,0,0,0,0,0,2,0,0,1
21,13,0,0,17,0,3,0,0,0,0,0,0,0,0,1
24,16,0,0,20,0,2,0,0,0,0,0,0,0,0,1
28,20,0,0,23,1,3,1,0,0,0,0,0,1,0,1
21,13,0,0,17,0,3,0,0,0,0,0,0,1,0,1
21,13,0,0,17,0,3,1,0,1,0,0,0,1,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,0
29,21,0,2,23,0,3,0,0,0,0,0,0,0,0,1
30,22,0,0,26,0,3,0,0,0,0,0,0,0,0,1
29,21,0,0,24,1,3,0,0,0,0,0,0,0,0,1
36,28,0,0,32,0,2,0,0,0,0,0,0,1,0,1
22,14,0,0,17,1,2,0,0,0,0,0,0,0,0,0
27,19,0,0,22,1,2,0,0,0,0,0,0,0,0,0
24,16,0,0,20,0,3,1,0,0,0,0,0,1,0,1
26,18,0,0,22,0,3,1,0,0,0,0,0,1,0,1
27,19,0,0,23,0,3,1,0,0,0,0,0,1,0,1
22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
33,25,0,0,29,0,3,0,0,0,0,0,0,0,0,1
29,21,0,0,25,0,3,0,0,0,0,0,0,0,0,1
23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
26,18,0,0,22,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,0
26,18,0,0,22,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,20,1,3,0,0,0,0,0,0,0,0,1
25,17,0,0,20,1,3,0,0,0,0,0,0,0,0,1
26,18,0,0,21,1,3,0,0,0,0,0,0,0,0,1
27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
31,23,0,0,27,0,3,0,0,0,0,0,0,0,0,1
32,24,0,0,28,0,3,0,0,0,0,0,0,0,0,1
29,21,0,0,25,0,3,0,0,0,0,0,0,0,0,1
28,20,0,0,24,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
30,22,0,0,26,0,3,0,0,0,0,0,0,0,0,1
29,21,0,0,25,0,3,1,0,0,0,0,2,1,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,0
24,16,0,2,18,0,3,0,0,0,0,0,0,0,0,1
18,10,0,0,14,0,4,0,0,0,0,0,0,0,0,0
21,13,0,0,17,0,4,0,0,0,0,0,0,1,0,1
23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
28,20,0,0,23,1,3,0,0,0,0,0,0,0,0,1
20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,11,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
23,12,1,0,17,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,3,1,1,1,0,0,0,1,0,1
21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
22,14,1,0,16,1,3,1,0,0,0,0,2,1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
29,21,1,0,22,2,2,1,1,0,0,0,2,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,1,0,0,0,0,2,1,0,1
21,13,1,2,14,0,2,0,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,1,0,0,0,0,0,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
23,15,1,0,18,0,2,1,0,1,0,0,2,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
26,18,1,0,21,0,2,0,0,0,0,0,2,1,0,1
32,24,1,0,27,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
34,23,1,0,27,0,3,0,0,0,0,0,0,0,0,0
26,15,1,0,20,0,3,1,0,0,0,0,0,1,0,1
22,14,1,0,17,0,3,1,1,1,0,0,0,1,0,1
25,17,1,0,20,0,2,1,0,0,0,0,0,1,0,1
23,12,1,0,17,0,3,1,0,0,0,0,0,1,0,1
21,13,1,0,16,0,2,0,0,0,0,0,0,1,0,1
25,14,0,0,19,0,3,0,0,0,0,0,0,0,0,1
25,14,1,0,19,0,3,0,0,0,0,0,0,1,0,1
24,13,1,0,18,0,3,0,0,0,0,0,0,0,0,1
25,17,1,0,19,1,2,1,1,1,0,0,2,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
23,12,1,0,17,0,3,0,0,0,0,0,0,0,0,1
24,16,1,0,19,0,3,1,0,0,0,0,0,1,0,1
31,23,1,0,25,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
26,15,1,0,20,0,3,1,0,1,0,0,0,1,0,1
23,12,1,0,17,0,3,1,1,1,0,0,0,1,0,0
22,14,1,0,17,0,2,1,0,0,0,0,2,1,0,1
25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,0,0,0,0,0,0,0,0,1
22,14,1,0,17,0,3,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,1,1,1,0,0,2,1,0,1
25,17,1,0,20,0,2,1,1,1,0,1,2,1,0,1
19,11,1,0,14,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,19,0,4,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,2,1,0,1
21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
23,15,1,0,18,0,2,1,1,1,0,1,0,1,0,1
30,22,1,0,24,1,2,1,1,1,0,0,2,1,0,1
26,18,1,4,17,0,3,1,0,0,0,0,2,1,0,1
25,17,1,0,20,0,2,1,1,1,0,1,2,1,0,1
21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
18,10,1,0,13,0,2,1,1,1,0,1,2,1,0,1
30,22,1,0,24,1,2,1,1,1,0,1,0,1,0,1
18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
23,15,1,0,18,0,2,0,0,0,0,0,2,1,0,1
27,19,1,0,22,0,2,0,0,0,0,0,0,0,0,0
27,19,1,0,22,0,2,1,1,1,0,0,2,1,0,1
26,18,1,0,21,0,3,1,0,0,0,0,2,1,0,1
25,17,1,0,19,1,3,1,1,1,0,1,2,1,0,1
17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
24,16,1,0,18,1,2,1,1,1,0,1,2,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,2,1,0,1
24,16,1,0,19,0,2,1,1,1,0,1,2,1,0,1
22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
21,13,1,0,16,0,2,1,1,1,0,1,0,1,0,1
25,17,1,0,20,0,2,1,0,0,0,0,0,1,0,1
25,17,1,0,20,0,3,1,1,1,0,0,0,1,0,1
27,19,1,0,22,0,2,1,1,1,0,0,2,1,0,1
25,17,1,0,19,1,3,0,0,0,0,0,0,0,0,0
