domain,url_length,domain_length,has_www,count_digits,count_letters,count_hyphens,tld_length,has_contact_page,payment_credit_card,payment_modern,payment_crypto,vorkasse_only_risk,email_type,has_logo,domain_age_days,ssl_valid
peek-cloppenburg.de,31,23,1,0,25,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
hugendubel.de,25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
saturn.at,21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
apple.com,24,13,1,0,18,0,3,1,0,0,0,0,0,1,0,1
microsoft.com,31,17,1,0,24,1,3,1,0,0,0,0,0,1,0,1
nike.com,23,12,1,0,17,0,3,1,0,0,0,0,0,1,0,1
adidas.de,21,13,1,0,16,0,2,0,0,0,0,0,0,1,0,1
aboutyou.de,23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
snipes.com,22,14,1,0,17,0,3,1,1,1,0,0,0,1,0,1
zooplus.de,22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
fressnapf.de,24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
tchibo.de,21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
baur.de,19,11,1,0,14,0,2,1,1,1,0,0,2,1,0,1
louis.de,20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
babywalz.de,23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
obi.de,18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
galaxus.de,22,14,1,0,17,0,2,0,0,0,0,0,2,0,0,1
douglas.de,22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
sephora.de,22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
misterspex.de,25,17,1,0,20,0,2,1,1,1,0,0,0,1,0,1
eventim.de,22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,0
booking.com,23,15,1,0,18,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
etsy.com,23,12,1,0,17,0,3,0,0,0,0,0,0,0,0,1
lego.com,26,12,1,0,19,1,3,-1,-1,-1,-1,-1,-1,-1,0,1
mediamarkt.at,25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
atualizacaodedados.online,32,25,0,0,28,0,6,0,0,0,0,0,0,0,0,0
mercadobiitcoin.com,26,19,0,0,22,0,3,0,0,0,0,0,0,0,0,0
token-selfkey.org,24,17,0,0,19,1,3,0,0,0,0,0,0,0,0,0
cancel.direct.page-scure247899.com,41,34,0,6,28,1,3,0,0,0,0,0,0,0,0,0
tevhidigundem.ml,23,16,0,0,19,0,2,0,0,0,0,0,0,0,0,0
secure-login-paypal-alert.com,36,29,0,0,29,3,3,0,0,0,0,0,0,0,0,0
account-verification-amazon.net,38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
support-paypal-update.info,33,26,0,0,27,2,4,0,0,0,0,0,0,0,0,0
login-facebook-security.com,34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
verify-appleid-support.net,33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
secure-google-account-alert.com,38,31,0,0,31,3,3,0,0,0,0,0,0,0,0,0
amazon-delivery-status.info,34,27,0,0,28,2,4,0,0,0,0,0,0,0,0,0
ebay-konto-sperrung.net,30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
netflix-billing-update.com,33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
spotify-account-warning.net,34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
instagram-security-check.com,35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
microsoft-login-verify.com,33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
icloud-support-alert.net,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
dhl-track-shipment.info,30,23,0,0,24,2,4,0,0,0,0,0,0,0,0,0
ups-delivery-notice.net,30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
fedex-tracking-alert.com,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
postbank-sicherheitswarnung.com,38,31,0,0,33,1,3,0,0,0,0,0,0,0,0,0
sparkasse-konto-pruefung.net,35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
paypal-konto-einschraenkung.com,38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
amazon-refund-center.net,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
klarna-payment-issue.com,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
booking-confirmation-alert.net,37,30,0,0,31,2,3,0,0,0,0,0,0,0,0,0
airbnb-support-check.com,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
trustedshops-zertifikat.info,35,28,0,0,30,1,4,0,0,0,0,0,0,0,0,0
shop-verifikation-required.com,37,30,0,0,31,2,3,0,0,0,0,0,0,0,0,0
kundenkonto-aktualisierung.net,37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
online-shop-support24.com,32,25,0,2,24,2,3,0,0,0,0,0,0,0,0,0
zahlung-offen-status.net,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
bestellbestaetigung-portal.com,37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
account-suspend-warning.net,34,27,0,0,28,2,3,0,0,0,0,0,0,0,0,0
login-secure-portal.com,30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
update-billing-info.net,30,23,0,0,24,2,3,0,0,0,0,0,0,0,0,0
support-center-login.net,31,24,0,0,25,2,3,0,0,0,0,0,0,0,0,0
payment-security-check.com,33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
kundenservice-verifikation.com,37,30,0,0,32,1,3,0,0,0,0,0,0,0,0,0
onlinezahlung-sicher.net,31,24,0,0,26,1,3,0,0,0,0,0,0,0,0,0
konto-verifizierung-jetzt.com,36,29,0,0,30,2,3,0,0,0,0,0,0,0,0,0
secure-payment-gateway.net,33,26,0,0,27,2,3,0,0,0,0,0,0,0,0,0
kundenportal-update.com,30,23,0,0,25,1,3,0,0,0,0,0,0,0,0,0
account-protection-check.net,35,28,0,0,29,2,3,0,0,0,0,0,0,0,0,0
secure-shop-login.com,28,21,0,0,22,2,3,0,0,0,0,0,0,0,0,0
shop-sicherheitscenter.net,33,26,0,0,28,1,3,0,0,0,0,0,0,0,0,0
account-verification-center.com,38,31,0,0,32,2,3,0,0,0,0,0,0,0,0,0
radselect.de,23,16,1,0,18,0,2,0,0,0,0,0,0,0,0,0
shelterene.com,25,18,1,0,20,0,3,0,0,0,0,0,0,1,0,0
amazon.de,21,13,1,0,16,0,2,1,1,1,0,0,2,1,0,1
ebay.de,19,11,1,0,14,0,2,1,0,0,0,0,0,1,0,1
otto.de,19,11,1,0,14,0,2,1,1,1,0,1,2,1,0,1
zalando.de,22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,0
mediamarkt.de,25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
saturn.de,21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
alternate.de,24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
notebooksbilliger.de,32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
conrad.de,21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
cyberport.de,24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
thomann.de,22,14,1,0,17,0,2,1,1,1,0,1,0,1,0,1
ikea.com,20,12,1,0,15,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
lidl.de,19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
aldi-onlineshop.de,30,22,1,0,24,1,2,1,1,1,0,0,2,1,0,1
rewe.de,19,11,1,0,14,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
edeka.de,20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
dm.de,17,9,1,0,12,0,2,0,0,0,0,0,0,1,0,1
rossmann.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
apotheken-umschau.de,32,24,1,0,26,1,2,1,0,0,0,0,2,1,0,1
douglas.de,22,14,1,0,17,0,2,0,0,0,0,0,0,0,0,1
flaconi.de,22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
zara.com,20,12,1,0,15,0,3,0,0,0,0,0,0,0,0,1
hm.com,18,10,1,0,13,0,3,0,0,0,0,0,0,0,0,1
c-and-a.com,23,15,1,0,16,2,3,1,1,1,0,0,0,1,0,1
peek-cloppenburg.de,31,23,1,0,25,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
aboutyou.de,23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
breuninger.com,26,18,1,0,21,0,3,1,1,1,0,0,0,1,0,1
tchibo.de,21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
lego.com,20,12,1,0,15,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
playmobil.de,24,16,1,0,19,0,2,1,0,0,0,0,2,1,0,1
smythstoys.com,26,18,1,0,21,0,3,0,0,0,0,0,0,0,0,1
decathlon.de,24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
intersport.de,25,17,1,0,20,0,2,1,0,0,0,0,2,1,0,1
bergfreunde.de,26,18,1,0,21,0,2,1,0,0,0,0,2,1,0,1
globetrotter.de,27,19,1,0,22,0,2,1,1,1,0,0,2,1,0,1
bike-discount.de,28,20,1,0,22,1,2,0,0,0,0,0,0,0,0,1
louis.de,20,12,1,0,15,0,2,0,0,0,0,0,0,0,0,1
polo-motorrad.com,29,21,1,0,23,1,3,1,1,1,0,0,0,1,0,1
autodoc.de,22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
reifen.com,22,14,1,0,17,0,3,0,0,0,0,0,0,1,0,1
pneuhage.de,23,15,1,0,18,0,2,1,1,0,0,0,2,1,0,1
bauhaus.info,24,16,1,0,19,0,4,-1,-1,-1,-1,-1,-1,-1,0,1
hornbach.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
obi.de,18,10,1,0,13,0,2,1,1,1,0,0,0,1,0,1
toom.de,19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
xxxlutz.de,22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
roller.de,21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
home24.de,21,13,1,2,14,0,2,0,0,0,0,0,0,1,0,1
westwing.de,23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
otto-office.com,27,19,1,0,21,1,3,0,0,0,0,0,0,1,0,1
viking.de,21,13,1,0,16,0,2,1,0,0,0,0,2,1,0,1
zooplus.de,22,14,1,0,17,0,2,1,1,1,0,0,0,1,0,1
fressnapf.de,24,16,1,0,19,0,2,1,1,1,0,0,0,1,0,1
petsdeli.de,23,15,1,0,18,0,2,0,0,0,0,0,2,0,0,1
babywalz.de,23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
mytoys.de,21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
lieferando.de,25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
hello-fresh.de,26,18,1,0,20,1,2,0,0,0,0,0,0,0,0,0
gorillas.io,23,15,1,0,18,0,2,0,1,1,1,1,0,1,0,1
flink-food.de,25,17,1,0,19,1,2,0,0,0,0,0,0,0,0,0
bringmeister.de,27,19,1,0,22,0,2,0,0,0,0,0,0,0,0,0
booking.com,23,15,1,0,18,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
expedia.de,22,14,1,0,17,0,2,0,0,0,0,0,0,1,0,1
opodo.de,20,12,1,0,15,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
check24.de,22,14,1,2,15,0,2,1,1,0,0,0,2,1,0,1
idealo.de,21,13,1,0,16,0,2,1,0,0,0,0,0,1,0,1
billiger.de,23,15,1,0,18,0,2,1,0,0,0,0,0,1,0,1
coolblue.de,23,15,1,0,18,0,2,1,1,1,0,1,2,1,0,1
backmarket.de,25,17,1,0,20,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
refurbed.de,23,15,1,0,18,0,2,1,1,1,0,0,0,1,0,1
apple.com,21,13,1,0,16,0,3,1,0,0,0,0,0,1,0,1
samsung.com,23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
sony.de,19,11,1,0,14,0,2,1,1,1,0,0,0,1,0,1
hp.com,18,10,1,0,13,0,3,1,0,0,0,0,0,1,0,1
lenovo.com,22,14,1,0,17,0,3,1,0,0,0,0,0,1,0,1
dell.com,20,12,1,0,15,0,3,1,0,0,0,0,0,1,0,1
microsoft.com,25,17,1,0,20,0,3,1,0,0,0,0,0,1,0,1
nike.com,20,12,1,0,15,0,3,1,0,0,0,0,0,1,0,1
adidas.de,21,13,1,0,16,0,2,0,0,0,0,0,0,1,0,1
puma.com,20,12,1,0,15,0,3,1,0,0,0,0,2,1,0,1
underarmour.de,26,18,1,0,21,0,2,1,1,1,0,0,0,1,0,1
newbalance.de,25,17,1,0,20,0,2,0,0,0,0,0,0,0,0,1
asos.com,20,12,1,0,15,0,3,1,1,1,0,0,0,1,0,0
boozt.com,21,13,1,0,16,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
mister-spex.de,26,18,1,0,20,1,2,1,1,1,0,0,0,1,0,0
fielmann.de,23,15,1,0,18,0,2,1,1,0,0,0,2,1,0,1
pearle.de,21,13,1,0,16,0,2,1,0,0,0,0,0,1,0,1
medpex.de,21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
shop-apotheke.com,29,21,1,0,23,1,3,1,1,1,0,1,0,1,0,1
docmorris.de,24,16,1,0,19,0,2,1,1,1,0,0,2,1,0,1
aponeo.de,21,13,1,0,16,0,2,1,1,1,0,1,2,1,0,1
thalia.de,21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
hugendubel.de,25,17,1,0,20,0,2,1,1,1,0,0,2,1,0,1
buecher.de,22,14,1,0,17,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
audible.de,22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,1
spotify.com,23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
netflix.com,23,15,1,0,18,0,3,1,0,0,0,0,0,1,0,1
eventim.de,22,14,1,0,17,0,2,1,0,0,0,0,0,1,0,0
ticketmaster.de,27,19,1,0,22,0,2,1,0,1,0,0,0,1,0,1
etsy.com,20,12,1,0,15,0,3,0,0,0,0,0,0,0,0,1
kaufland.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
manomano.de,23,15,1,0,18,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
printus.de,22,14,1,0,17,0,2,1,0,0,0,0,0,0,0,1
office-discount.de,30,22,1,0,24,1,2,1,0,0,0,0,0,0,0,1
kiwea.shop,17,10,0,0,13,0,4,1,0,0,0,0,2,1,0,0
gapkleidung.de,25,18,1,0,20,0,2,1,1,1,0,0,0,1,0,0
modellbahnshop-club.shop,35,28,1,0,29,1,4,1,0,0,0,0,0,1,0,0
barzubehoerhaus.com,30,23,1,0,25,0,3,1,0,0,0,0,0,1,0,0
brennholz-konig.de,29,22,1,0,23,1,2,0,0,0,0,0,0,0,0,0
radselect.de,20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
cashmerancing.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
giesswein.ro,20,12,0,0,16,0,2,1,0,0,0,0,0,1,0,1
cdrock.monthfox.click,29,21,0,0,24,0,5,0,0,0,0,0,0,0,0,1
luxeshopcart.com,24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
grillzentrum.com,24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
belarismall.com,23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
hardloverz.com,22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
turbotrends.store,25,17,0,0,21,0,5,0,0,0,0,0,0,0,0,1
ridekraft.de,20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
ilair.endmilk.shop,26,18,0,0,21,0,4,1,0,0,0,0,0,1,0,1
kathielpe.de,20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,1
pipecigardiscount.com,29,21,0,0,25,0,3,1,0,0,0,0,0,1,0,1
shelterene.com,22,14,0,0,18,0,3,0,0,0,0,0,0,1,0,1
affordableuniquepro.shop,32,24,0,0,28,0,4,1,0,0,0,0,0,1,0,1
liport.manhand.shop,27,19,0,0,22,0,4,1,0,0,0,0,0,1,0,1
fideltylife.com,23,15,0,0,19,0,3,1,0,0,0,0,0,1,0,1
vivohogarvida.com,25,17,0,0,21,0,3,0,0,0,0,0,0,1,0,1
lmzvay.shop,19,11,0,0,15,0,4,0,0,0,0,0,0,0,0,0
neutoniesrabatt.com,27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
carboar.ar,18,10,0,0,14,0,2,0,0,0,0,0,0,0,0,1
tandesamt-portal.de,27,19,0,0,22,1,2,0,0,0,0,0,0,0,0,0
bylola-store.de,23,15,0,0,18,1,2,1,0,0,0,0,0,1,0,1
onavira.com,19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
boxx-container.de,25,17,0,0,20,1,2,1,0,0,0,0,2,1,0,1
gapkleidung.de,22,14,0,0,18,0,2,1,1,1,0,0,0,1,0,1
neuertm7-vorwerk.com,28,20,0,1,22,1,3,1,0,0,0,0,2,1,0,1
bayerischegeschenke.com,31,23,0,0,27,0,3,1,0,0,0,0,0,1,0,1
kiwea.shop,18,10,0,0,14,0,4,1,0,0,0,0,2,1,0,1
lozukiwojudo.media,26,18,0,0,22,0,5,1,0,0,0,0,0,1,0,1
barzubehoerhaus.com,27,19,0,0,23,0,3,1,0,0,0,0,0,1,0,1
outdoorerfahrung.com,28,20,0,0,24,0,3,1,0,0,0,0,0,1,0,1
brennholz-konig.de,26,18,0,0,21,1,2,0,0,0,0,0,0,0,0,1
ivfile.hpattack.shop,28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
oneact.cashglass.shop,29,21,0,0,24,0,4,1,0,0,0,0,0,1,0,1
modellbahnshop-club.shop,32,24,0,0,27,1,4,1,0,0,0,0,0,1,0,1
moedllbahnlippe.shop,28,20,0,0,24,0,4,1,0,0,0,0,0,1,0,1
liring.hpattack.shop,28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
baybed.cashglass.shop,29,21,0,0,24,0,4,1,0,0,0,0,0,1,0,1
adl.lreubk.shop,23,15,0,0,18,0,4,0,0,0,0,0,0,0,0,1
ashbergh.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
e-holzgmbh.com,22,14,0,0,17,1,3,0,0,0,0,0,0,0,0,1
maisondm.top,20,12,0,0,16,0,3,0,0,0,0,0,0,1,0,1
liring.goldpool.shop,28,20,0,0,23,0,4,0,0,0,0,0,0,0,0,1
emma.oninu.com,22,14,0,0,17,0,3,0,0,0,0,0,0,0,0,0
modellde.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
wohnweltplace.com,25,17,0,0,21,0,3,1,1,0,0,0,0,1,0,1
pheronaemporium.com,27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
upcock.dchand.blog,26,18,0,0,21,0,4,0,0,0,0,0,0,0,0,0
farmtiermarkt.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
maisonverkauf.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
anhangerwagen.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
holzlangbau.de,22,14,0,0,18,0,2,0,0,0,0,0,0,0,0,0
dolomite.com.de,23,15,0,0,18,0,2,0,0,0,0,0,0,0,0,0
solarynix.de,20,12,0,0,16,0,2,0,0,0,0,0,0,0,0,0
theratouch.shop,23,15,0,0,19,0,4,0,0,0,0,0,0,0,0,1
glossise.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
c-and-a-deutschland.de,30,22,0,0,23,3,2,0,0,0,0,0,0,0,0,0
wellott.com,19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
gloreve.com,19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,1
paramount668.com,24,16,0,3,17,0,3,0,0,0,0,0,0,0,0,1
hill-heizoel.de,23,15,0,0,18,1,2,0,0,0,0,0,0,0,0,1
brevilledeutschland.de,30,22,0,0,26,0,2,0,0,0,0,0,0,0,0,1
levoit.co.at,20,12,0,0,15,0,2,1,0,0,0,0,0,1,0,1
hengjian.eu,19,11,0,0,15,0,2,0,0,0,0,0,0,0,0,1
muysale.cn,18,10,0,0,14,0,2,1,0,0,0,0,0,1,0,1
ulmgmbh.com,19,11,0,0,15,0,3,0,0,0,0,0,0,0,0,0
tattoo-glanz-pflege.de,30,22,0,0,24,2,2,1,0,0,0,0,0,1,0,1
shop-root.de,20,12,0,0,15,1,2,0,0,0,0,0,0,0,0,0
otp-online.de,21,13,0,0,16,1,2,0,0,0,0,0,0,0,0,1
allgamesinone.com,25,17,0,0,21,0,3,1,1,0,0,0,0,1,0,1
savingstsunami.com,26,18,0,0,22,0,3,-1,-1,-1,-1,-1,-1,-1,0,1
lasportivashop.myshoplaza.com,37,29,0,0,32,0,3,0,0,0,0,0,0,0,0,1
haustieralles.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
noija.shop,18,10,0,0,14,0,4,0,0,0,0,0,0,0,0,0
pillenhaus.co,21,13,0,0,17,0,2,0,0,0,0,0,2,0,0,1
asicsshoe.net,21,13,0,0,17,0,3,0,0,0,0,0,0,0,0,1
treasureeshop.de,24,16,0,0,20,0,2,0,0,0,0,0,0,0,0,1
huntersverige-se.com,28,20,0,0,23,1,3,1,0,0,0,0,0,1,0,1
thelabeel.com,21,13,0,0,17,0,3,0,0,0,0,0,0,1,0,1
techilabs.com,21,13,0,0,17,0,3,1,0,1,0,0,0,1,0,1
heimvibe.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,0
24autopartsmaster.com,29,21,0,2,23,0,3,0,0,0,0,0,0,0,0,1
outdoorausruestung.com,30,22,0,0,26,0,3,0,0,0,0,0,0,0,0,1
lowa-wanderschuhe.com,29,21,0,0,24,1,3,0,0,0,0,0,0,0,0,1
eintrachtfrankfurttrikots.de,36,28,0,0,32,0,2,0,0,0,0,0,0,1,0,1
stark-ebike.de,22,14,0,0,17,1,2,0,0,0,0,0,0,0,0,0
mmk-shoppingwelt.de,27,19,0,0,22,1,2,0,0,0,0,0,0,0,0,0
schraubenpro.com,24,16,0,0,20,0,3,1,0,0,0,0,0,1,0,1
guewenheimholz.com,26,18,0,0,22,0,3,1,0,0,0,0,0,1,0,1
sportartikelbox.com,27,19,0,0,23,0,3,1,0,0,0,0,0,1,0,1
filmrabatt.com,22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
einzigartigehaustiere.com,33,25,0,0,29,0,3,0,0,0,0,0,0,0,0,1
edcbyespritrabatt.com,29,21,0,0,25,0,3,0,0,0,0,0,0,0,0,1
destrellson.com,23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
deschuhebillig.com,26,18,0,0,22,0,3,0,0,0,0,0,0,0,0,1
dekucherabatt.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,0
dehundeeinkauf.com,26,18,0,0,22,0,3,0,0,0,0,0,0,0,0,1
de-schuhladen.com,25,17,0,0,20,1,3,0,0,0,0,0,0,0,0,1
de-schmuckens.com,25,17,0,0,20,1,3,0,0,0,0,0,0,0,0,1
de-fahrradshop.com,26,18,0,0,21,1,3,0,0,0,0,0,0,0,0,1
dasegelgeschaft.com,27,19,0,0,23,0,3,0,0,0,0,0,0,0,0,1
camptotalneu.com,24,16,0,0,20,0,3,0,0,0,0,0,0,0,0,1
briospielzeugrabatt.com,31,23,0,0,27,0,3,0,0,0,0,0,0,0,0,1
billigelektrofahrrad.com,32,24,0,0,28,0,3,0,0,0,0,0,0,0,0,1
bikepatchkitprada.com,29,21,0,0,25,0,3,0,0,0,0,0,0,0,0,1
bikecomponentsde.com,28,20,0,0,24,0,3,0,0,0,0,0,0,0,0,1
badeanzugeneu.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
babyweltde.com,22,14,0,0,18,0,3,0,0,0,0,0,0,0,0,1
babymarktkauf.com,25,17,0,0,21,0,3,0,0,0,0,0,0,0,0,1
angelzubehoerladen.com,30,22,0,0,26,0,3,0,0,0,0,0,0,0,0,1
msmmetallindustry.com,29,21,0,0,25,0,3,1,0,0,0,0,2,1,0,1
asfishop.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,0
modellwelt24.com,24,16,0,2,18,0,3,0,0,0,0,0,0,0,0,1
aoxji.shop,18,10,0,0,14,0,4,0,0,0,0,0,0,0,0,0
opyiazki.shop,21,13,0,0,17,0,4,0,0,0,0,0,0,1,0,1
lampespromo.com,23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
grillzubehoer-de.com,28,20,0,0,23,1,3,0,0,0,0,0,0,0,0,1
schwfoto.com,20,12,0,0,16,0,3,0,0,0,0,0,0,0,0,1
desklamplex.com,23,15,0,0,19,0,3,0,0,0,0,0,0,0,0,1
saturn.de,21,13,1,0,16,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
conrad.de,21,13,1,0,16,0,2,1,1,1,0,0,0,1,0,1
notebooksbilliger.de,32,24,1,0,27,0,2,1,0,0,0,0,0,0,0,1
cyberport.de,24,16,1,0,19,0,2,-1,-1,-1,-1,-1,-1,-1,0,1
alternate.de,24,16,1,0,19,0,2,1,0,1,0,1,0,1,0,1
